Fecha de diagnóstico,BMW,Casos,Muertes,Mov Residencial,Mov trabajo,Mov estaciones
2020-10-21,159.0,322.85714285714283,11.0,13.0,-22.666666666666668,-23.0
2020-10-22,234.0,332.85714285714283,8.0,13.0,-24.333333333333332,-22.0
2020-10-23,222.0,318.7142857142857,5.0,13.0,-19.333333333333332,-22.666666666666668
2020-10-24,163.0,306.57142857142856,9.0,8.333333333333334,-7.333333333333333,-17.666666666666668
2020-10-25,0.0,312.0,8.0,8.666666666666666,-9.666666666666666,-26.666666666666668
2020-10-26,213.0,307.2857142857143,9.0,12.666666666666666,-22.333333333333332,-23.666666666666668
2020-10-27,239.0,295.2857142857143,11.0,13.0,-22.0,-24.0
2020-10-28,228.0,278.85714285714283,11.0,13.666666666666666,-22.333333333333332,-21.666666666666668
2020-10-29,219.0,284.85714285714283,8.0,12.333333333333334,-22.333333333333332,-20.666666666666668
2020-10-30,208.0,287.0,2.0,12.333333333333334,-18.0,-17.333333333333332
2020-10-31,128.0,317.42857142857144,7.0,7.333333333333333,-6.0,-12.666666666666666
2020-11-01,0.0,314.85714285714283,3.0,7.666666666666667,-7.0,-25.666666666666668
2020-11-02,23.0,277.2857142857143,4.0,19.0,-64.33333333333333,-31.333333333333332
2020-11-03,282.0,270.14285714285717,9.0,11.0,-20.333333333333332,-16.666666666666668
2020-11-04,198.0,249.57142857142858,10.0,13.0,-21.666666666666668,-21.333333333333332
2020-11-05,217.0,294.2857142857143,11.0,12.0,-22.333333333333332,-24.333333333333332
2020-11-06,237.0,306.85714285714283,10.0,11.666666666666666,-17.0,-22.333333333333332
2020-11-07,158.0,292.42857142857144,6.0,8.333333333333334,-4.666666666666667,-19.0
2020-11-08,0.0,295.14285714285717,6.0,8.666666666666666,-3.3333333333333335,-22.333333333333332
2020-11-09,216.0,341.2857142857143,7.0,12.333333333333334,-22.0,-24.0
2020-11-10,207.0,354.85714285714283,5.0,12.0,-20.0,-20.333333333333332
2020-11-11,200.0,356.0,4.0,12.0,-20.666666666666668,-15.666666666666666
2020-11-12,247.0,304.2857142857143,5.0,12.333333333333334,-21.333333333333332,-20.333333333333332
2020-11-13,228.0,293.42857142857144,16.0,11.666666666666666,-17.0,-14.0
2020-11-14,139.0,297.14285714285717,5.0,6.333333333333333,-5.666666666666667,-8.0
2020-11-15,0.0,288.14285714285717,5.0,5.666666666666667,-2.0,-20.333333333333332
2020-11-16,23.0,249.14285714285714,6.0,19.0,-63.333333333333336,-32.0
2020-11-17,207.0,247.57142857142858,9.0,11.666666666666666,-19.666666666666668,-18.666666666666668
2020-11-18,196.0,271.2857142857143,14.0,11.333333333333334,-19.666666666666668,-4.333333333333333
2020-11-19,245.0,301.85714285714283,12.0,11.333333333333334,-20.666666666666668,-14.0
2020-11-20,221.0,334.0,14.0,11.0,-15.666666666666666,-7.666666666666667
2020-11-21,134.0,337.0,10.0,6.333333333333333,-1.3333333333333333,-2.3333333333333335
2020-11-22,0.0,322.2857142857143,5.0,7.666666666666667,0.6666666666666666,-5.666666666666667
2020-11-23,196.0,351.57142857142856,10.0,11.333333333333334,-19.666666666666668,-12.666666666666666
2020-11-24,214.0,358.42857142857144,11.0,11.0,-17.333333333333332,-12.666666666666666
2020-11-25,197.0,343.2857142857143,6.0,10.333333333333334,-17.333333333333332,-6.666666666666667
2020-11-26,198.0,321.14285714285717,9.0,10.333333333333334,-18.666666666666668,-11.333333333333334
2020-11-27,209.0,294.14285714285717,6.0,10.0,-13.666666666666666,-9.333333333333334
2020-11-28,137.0,278.7142857142857,4.0,5.666666666666667,-0.3333333333333333,-1.3333333333333333
2020-11-29,0.0,280.14285714285717,6.0,6.0,4.333333333333333,-3.3333333333333335
2020-11-30,197.0,262.57142857142856,7.0,9.333333333333334,-17.0,-4.666666666666667
2020-12-01,217.0,236.0,8.0,9.0,-16.0,-6.0
2020-12-02,191.0,216.14285714285714,6.0,9.333333333333334,-15.0,-1.0
2020-12-03,200.0,203.85714285714286,9.0,9.333333333333334,-16.666666666666668,-2.6666666666666665
2020-12-04,216.0,196.85714285714286,8.0,7.666666666666667,-11.333333333333334,1.6666666666666667
2020-12-05,150.0,210.57142857142858,6.0,4.0,0.6666666666666666,6.666666666666667
2020-12-06,0.0,224.71428571428572,7.0,5.333333333333333,9.0,2.0
2020-12-07,214.0,230.57142857142858,7.0,5.666666666666667,-15.333333333333334,5.0
2020-12-08,21.0,227.57142857142858,4.0,19.666666666666668,-60.666666666666664,-28.333333333333332
2020-12-09,195.0,252.57142857142858,8.0,8.0,-15.0,4.0
2020-12-10,288.0,267.85714285714283,19.0,9.0,-16.666666666666668,-5.666666666666667
2020-12-11,231.0,288.57142857142856,13.0,8.666666666666666,-10.333333333333334,-2.0
2020-12-12,151.0,286.14285714285717,7.0,5.333333333333333,2.0,1.3333333333333333
2020-12-13,0.0,290.14285714285717,7.0,6.0,8.666666666666666,1.6666666666666667
2020-12-14,219.0,301.0,10.0,9.333333333333334,-16.0,-3.6666666666666665
2020-12-15,238.0,328.57142857142856,17.0,8.333333333333334,-14.666666666666666,-3.6666666666666665
2020-12-16,226.0,351.7142857142857,15.0,8.333333333333334,-14.0,1.6666666666666667
2020-12-17,182.0,347.85714285714283,7.0,8.0,-16.0,-5.0
2020-12-18,204.0,347.0,13.0,7.666666666666667,-10.666666666666666,0.0
2020-12-19,209.0,365.42857142857144,13.0,3.6666666666666665,3.3333333333333335,10.666666666666666
2020-12-20,0.0,368.7142857142857,10.0,3.6666666666666665,16.333333333333332,17.333333333333332
2020-12-21,171.0,386.85714285714283,12.0,7.0,-14.666666666666666,12.666666666666666
2020-12-22,126.0,398.2857142857143,17.0,5.333333333333333,-14.333333333333334,14.0
2020-12-23,184.0,387.0,13.0,4.333333333333333,-13.666666666666666,29.333333333333332
2020-12-24,236.0,397.57142857142856,18.0,5.333333333333333,-26.666666666666668,12.333333333333334
2020-12-25,0.0,365.85714285714283,5.0,22.333333333333332,-75.66666666666667,-53.333333333333336
2020-12-26,196.0,360.0,11.0,9.0,-19.333333333333332,-12.0
2020-12-27,0.0,361.57142857142856,5.0,7.0,4.666666666666667,0.0
2020-12-28,174.0,350.2857142857143,15.0,9.333333333333334,-20.0,7.0
2020-12-29,202.0,356.85714285714283,4.0,9.333333333333334,-20.666666666666668,4.666666666666667
2020-12-30,212.0,360.14285714285717,17.0,6.666666666666667,-20.333333333333332,13.666666666666666
2020-12-31,209.0,359.0,8.0,8.666666666666666,-36.0,-1.0
2021-01-01,0.0,355.57142857142856,5.0,33.666666666666664,-82.33333333333333,-72.0
2021-01-02,110.0,341.85714285714283,11.0,11.0,-38.0,-27.333333333333332
2021-01-03,0.0,350.42857142857144,9.0,6.666666666666667,-9.666666666666666,-10.333333333333334
2021-01-04,197.0,361.85714285714283,12.0,11.666666666666666,-27.333333333333332,-6.666666666666667
